animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
23517,Calligraffiti,None,['Music'],Movie,1,[],[],[],Unknown,4.39,129,300
23519,Enbi,None,['Hentai'],OVA,2,"['MS Pictures', 'AniMan']",[],[],Manga,6.37,948,2194
23523,Aterui,None,"['Action', 'Fantasy', 'Historical']",Movie,1,['Cinema Tohoku'],[],[],Unknown,5.73,11,175
23537,Two Down Full Base,None,"['Sports', 'Kids']",Special,1,"['Fuji TV', 'Toho']",[],['Group TAC'],Novel,6.18,11,98
23539,Gudetama,Spring 2014,"['Comedy', 'Kids']",TV,0,['Sanrio'],[],['Gathering'],Original,7.34,927,4938
23551,Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,Summer 2014,"['Comedy', 'Slice of Life']",TV,12,"['Dream Creation', 'Studio CHANT']",[],['Seven'],4-koma manga,6.02,4432,8823
23569,Kagirinaki Rakuen,None,['Slice of Life'],Movie,1,[],[],[],Unknown,6.14,7,128
23579,12-sai.,None,"['Romance', 'School', 'Shoujo']",OVA,8,['Half H.P Studio'],[],['SynergySP'],Manga,6.44,1990,7983
23581,Romeo no Aoi Sora Specials,None,"['Adventure', 'Drama', 'Historical', 'Slice of Life']",Special,2,[],[],['Nippon Animation'],Novel,6.74,95,456
23583,Akage no Anne Specials,None,"['Drama', 'Historical', 'Kids', 'Shoujo', 'Slice of Life']",Special,2,['BS Fuji'],[],['Nippon Animation'],Unknown,6.25,111,521
23587,The iDOLM@STER Cinderella Girls,Winter 2015,"['Music', 'Comedy', 'Drama']",TV,13,"['Aniplex', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Games', 'Anime Consortium Japan', 'Cygames']",[],['A-1 Pictures'],Game,7.21,18210,46326
23593,Saitama Bousou Saizensen Flag! Shinimonogurui no Seishun!!,None,"['Drama', 'Slice of Life']",OVA,1,[],[],[],Unknown,6.1,10,100
23595,Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,None,"['Comedy', 'Sci-Fi', 'Space']",Special,1,['Bandai Visual'],[],['Sunrise'],Unknown,5.6,93,475
23597,Legend of Basara: Shinbashi Theater,None,['Comedy'],Special,1,['KSS'],[],[],Unknown,5.9,68,256
23605,Ninja Slayer From Animation,None,['Action'],ONA,26,"['Movic', 'KlockWorx', 'Ultra Super Pictures', 'Grooove', 'Good Smile Company', 'famima.com', 'King Records', 'Fields', 'QREAZY']",['Funimation'],['Trigger'],Novel,6.6,7392,31003
23607,Gaki Deka,Fall 1989,"['Comedy', 'Ecchi', 'Kids', 'Parody', 'Shounen']",TV,22,[],[],['Studio Gallop'],Unknown,4.36,11,129
23611,Bunna yo Ki kara Orite Koi,None,"['Adventure', 'Kids']",Movie,1,[],[],[],Unknown,5.91,11,91
23615,Eiyuu Banka Koushi-den,None,"['Adventure', 'Drama', 'Historical', 'Romance']",OVA,1,['NHK'],[],[],Unknown,5.5,16,174
23617,Sore Ike! Anpanman: Ringo Boy to Minna no Negai,None,"['Kids', 'Fantasy', 'Comedy']",Movie,1,[],[],['TMS Entertainment'],Unknown,6.17,12,123
23619,Haiyore! Nyaruko-san W OVA,None,"['Comedy', 'Ecchi', 'Parody']",OVA,1,['DIVE II Entertainment'],[],['Xebec'],Light novel,7.18,10350,20348
23623,Non Non Biyori Repeat,Summer 2015,"['Comedy', 'School', 'Seinen', 'Slice of Life']",TV,12,"['TV Tokyo', 'Lantis']",['Sentai Filmworks'],['Silver Link.'],Manga,8.23,45110,92568
23627,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,None,"['Comedy', 'Parody']",Special,13,['flying DOG'],[],[],Manga,6.76,865,3773
23633,Poppoya-san: Nonki Ekichou,None,['Kids'],Movie,1,[],[],[],Original,7.45,11,107
23635,Poppoya-san: Nonki Kikanshi,None,['Kids'],Movie,1,[],[],[],Original,7,9,95
23637,Kobito to Ao Mushi,None,"['Kids', 'Music']",Movie,1,[],[],[],Original,6.08,12,118
23639,Kappa Kawatarou,None,"['Kids', 'Supernatural']",Movie,1,['The National Film Center Japan'],[],[],Original,4.59,44,159
23641,Ukare Violin,None,"['Fantasy', 'Kids']",Movie,1,[],[],[],Original,6.57,7,102
23643,Nezumi no Yomeiri,None,"['Kids', 'Fantasy']",Movie,1,[],[],['Toei Animation'],Original,4.98,40,144
23645,Ookami to Nanahiki no Ko Yagi,None,"['Fantasy', 'Kids']",OVA,1,[],[],[],Unknown,6.9,10,95
23647,Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,None,"['Comedy', 'Kids', 'Martial Arts', 'Slice of Life']",Movie,1,[],[],['Shin-Ei Animation'],Unknown,6.07,46,174
23651,Hanawa Hekonai Kappa Matsuri,None,"['Kids', 'Comedy']",Movie,1,[],[],[],Unknown,5.75,20,113
23659,Hi no Tori: Hagoromo-hen,None,['Drama'],Movie,1,['Tezuka Productions'],[],[],Unknown,6.54,26,221
23661,Glass no Chikyuu wo Sukue Unico Special,None,"['Kids', 'Fantasy']",Movie,1,['Tezuka Productions'],[],[],Manga,6.61,33,212
23673,Ookami Shoujo to Kuro Ouji,Fall 2014,"['Comedy', 'Romance', 'School', 'Shoujo']",TV,12,"['VAP', 'Yomiuri Telecasting', 'Nippon Television Network']",['Sentai Filmworks'],['TYO Animations'],Manga,7.41,114922,209778
23675,Hi no Tori: Kizuna-hen,None,"['Fantasy', 'Kids']",Special,1,['Tezuka Productions'],[],[],Unknown,7.31,13,203
23677,Manga Edo Erobanashi,None,"['Comedy', 'Hentai', 'Historical']",OVA,5,['Group TAC'],[],[],Unknown,3.3,33,226
23679,Strange+ Special,None,"['Slice of Life', 'Comedy', 'Josei']",Special,1,['Dream Creation'],[],['Seven'],Manga,5.89,397,1529
23697,Kara no Kyoukai: Manner Movies,None,"['Action', 'Comedy']",Movie,7,['Aniplex'],['Aniplex of America'],['ufotable'],Unknown,6.46,2958,7103
23699,Kumo ni Noru,None,"['Action', 'Seinen']",OVA,2,[],[],['J.C.Staff'],Manga,4.41,17,173
23701,Toradora! Recap,None,"['Slice of Life', 'Comedy', 'Romance', 'School']",OVA,1,[],[],['J.C.Staff'],Unknown,7.67,17644,38625
23703,Gatchaman Crowds: Embrace,None,"['Adventure', 'Sci-Fi']",Special,1,['VAP'],[],['Tatsunoko Production'],Unknown,7.47,6451,13125
23707,Sabaku no Kuni no Oujosama,None,"['Adventure', 'Fantasy']",OVA,1,['Shinano Kikaku'],[],['Toei Animation'],Unknown,5,18,120
23711,Kakumei no Wakaki Sora,None,"['Drama', 'Historical']",OVA,1,['Shinano Kikaku'],[],[],Unknown,6.59,180,498
23713,Nagareboshi no Okurimono,None,"['Fantasy', 'Kids']",OVA,1,['Shinano Kikaku'],[],[],Unknown,5.63,8,68
23719,Rennyuu Tales The Animation,None,['Hentai'],OVA,1,['Pink Pineapple'],[],[],Manga,6.55,933,2601
23723,Teppen,None,"['Action', 'Comedy']",OVA,2,['Knack Productions'],[],[],Unknown,4.69,16,142
23725,Strike Witches: Operation Victory Arrow,None,"['Action', 'Military', 'Sci-Fi', 'Magic']",OVA,3,['501st JOINT FIGHTER WING'],[],['Silver Link.'],Original,7.45,5822,15004
23729,Minna Tomodachi,None,"['Comedy', 'Fantasy', 'Kids']",OVA,1,[],[],[],Unknown,4.67,3,64
23733,Kosys! Kochira Keihime Tetsudou: Kouhou System-ka,None,"['Comedy', 'Slice of Life']",ONA,2,[],[],[],Unknown,4.29,17,224
23735,Kenzen Robo Daimidaler Specials,None,"['Ecchi', 'Comedy', 'Mecha', 'Seinen']",Special,6,['Genco'],['Funimation'],['TNK'],Unknown,6.2,2041,5007
23737,Neko Pitcher,Spring 2014,"['Comedy', 'Sports', 'Kids']",TV,51,[],[],[],4-koma manga,7.04,24,373
23739,Peter Pan no Bouken Specials,None,"['Adventure', 'Fantasy']",Special,2,['Fuji TV'],[],['Nippon Animation'],Unknown,5.6,48,186
23753,Kishin Houkou Demonbane (TV) Specials,None,"['Magic', 'Mecha', 'Sci-Fi', 'Supernatural']",Special,2,['Nitroplus'],[],[],Game,6.03,167,805
23755,Nanatsu no Taizai,Fall 2014,"['Action', 'Adventure', 'Supernatural', 'Magic', 'Ecchi', 'Fantasy', 'Shounen']",TV,24,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic']",['Funimation'],['A-1 Pictures'],Manga,8.29,383080,625402
23759,Oira no Ski,None,"['Comedy', 'Sports']",Movie,1,[],[],[],Original,5.18,179,353
23763,Manga Aesop Monogatari,None,"['Adventure', 'Fantasy', 'Kids']",Movie,1,[],[],['Toei Animation'],Unknown,6.08,24,123
23765,Yamiyo no Jidaigeki,None,"['Historical', 'Horror']",Special,2,[],[],['Sunrise'],Unknown,4.24,21,156
23767,Yamiyo no Jidaigeki (OVA),None,"['Historical', 'Horror']",OVA,2,[],[],['Sunrise'],Unknown,4.21,19,126
